view,track_id,start_frame,end_frame,start_time,end_time,num_detections
view2,3379,2830,2833,113.20,113.32,3
view2,3391,2838,2840,113.52,113.60,2
view2,3398,2844,3366,113.76,134.64,414
view2,3436,2893,2894,115.72,115.76,2
view2,3437,2896,2917,115.84,116.68,4
view2,3451,2908,2917,116.32,116.68,3
view2,3457,2915,2921,116.60,116.84,3
view2,3478,2954,2968,118.16,118.72,3
view2,3479,2955,2957,118.20,118.28,3
view2,3496,2989,3068,119.56,122.72,63
view2,3497,2990,3034,119.60,121.36,28
view2,3518,3011,3011,120.44,120.44,1
view2,3529,3020,3206,120.80,128.24,108
view2,3539,3034,3037,121.36,121.48,4
view2,3557,3058,3186,122.32,127.44,109
view2,3564,3075,3097,123.00,123.88,5
view2,3575,3086,3087,123.44,123.48,2
view2,3592,3097,3239,123.88,129.56,47
view2,3593,3097,3097,123.88,123.88,1
view2,3597,3103,3143,124.12,125.72,27
view2,3604,3132,3146,125.28,125.84,4
view2,3638,3183,3184,127.32,127.36,2
view2,3642,3186,3344,127.44,133.76,114
view2,3651,3198,3209,127.92,128.36,2
view2,3670,3210,3278,128.40,131.12,43
view2,3675,3224,3227,128.96,129.08,2
view2,3691,3266,3293,130.64,131.72,21
view2,3703,3279,3426,131.16,137.04,91
view2,3706,3281,3281,131.24,131.24,1
view2,3709,3287,3287,131.48,131.48,1
view2,3719,3296,3297,131.84,131.88,2
view2,3734,3306,3307,132.24,132.28,2
view2,3736,3306,3365,132.24,134.60,25
view2,3752,3339,3387,133.56,135.48,9
view2,3755,3342,3342,133.68,133.68,1
view2,3761,3347,3387,133.88,135.48,36
view2,3771,3355,3357,134.20,134.28,3
view2,3776,3364,3422,134.56,136.88,58
view2,3780,3392,3411,135.68,136.44,17
view2,3794,3390,3402,135.60,136.08,8
view2,3796,3390,3395,135.60,135.80,5
view2,3798,3396,3582,135.84,143.28,130
view2,3807,3407,3746,136.28,149.84,263
view2,3820,3428,3437,137.12,137.48,7
view2,3826,3432,3433,137.28,137.32,2
view2,3831,3440,3524,137.60,140.96,60
view2,3849,3470,3572,138.80,142.88,57
view2,3860,3497,3548,139.88,141.92,13
view2,3877,3510,3644,140.40,145.76,68
view2,3879,3512,3524,140.48,140.96,12
view2,3884,3519,3519,140.76,140.76,1
view2,3892,3525,3532,141.00,141.28,4
view2,3895,3537,3638,141.48,145.52,78
view2,3899,3548,3614,141.92,144.56,20
view2,3912,3589,3649,143.56,145.96,7
view2,3924,3613,3615,144.52,144.60,3
view2,3926,3621,3624,144.84,144.96,4
view2,3928,3625,3628,145.00,145.12,4
view2,3932,3632,3744,145.28,149.76,62
view2,3951,3654,3702,146.16,148.08,40
view2,3964,3673,3742,146.92,149.68,44
view2,3974,3697,3886,147.88,155.44,141
view2,3990,3707,3861,148.28,154.44,125
view2,4009,3734,3736,149.36,149.44,3
view2,4018,3740,3741,149.60,149.64,2
view2,4028,3748,3749,149.92,149.96,2
view2,4029,3751,3913,150.04,156.52,142
view2,4037,3758,3758,150.32,150.32,1
view2,4040,3759,3913,150.36,156.52,86
view2,4041,3759,3759,150.36,150.36,1
view2,4052,3766,3769,150.64,150.76,4
view2,4053,3766,3781,150.64,151.24,9
view2,4102,3869,3913,154.76,156.52,8
view2,4114,3876,3912,155.04,156.48,21
view2,4137,3897,3913,155.88,156.52,12
view2,4148,3913,3913,156.52,156.52,1
view3,-1,150,838,6.00,33.52,9
view3,4153,159,255,6.36,10.20,95
view3,4164,290,828,11.60,33.12,521
view3,4178,376,491,15.04,19.64,113
view3,4189,428,430,17.12,17.20,2
view3,4198,504,635,20.16,25.40,122
view3,4212,656,762,26.24,30.48,99
view3,4217,708,711,28.32,28.44,3
view3,4222,723,820,28.92,32.80,87
view3,4229,761,852,30.44,34.08,83
view3,4252,837,853,33.48,34.12,4
view3,4256,840,970,33.60,38.80,121
view3,4261,845,846,33.80,33.84,2
view3,4264,859,1050,34.36,42.00,164
view3,4268,922,1345,36.88,53.80,378
view3,4270,971,972,38.84,38.88,2
view3,4285,1016,1018,40.64,40.72,2
view3,4288,1019,1133,40.76,45.32,114
view3,4294,1056,1056,42.24,42.24,1
view3,4297,1095,1100,43.80,44.00,3
view3,4307,1117,1483,44.68,59.32,346
view3,4311,1135,1141,45.40,45.64,7
view3,4315,1144,1255,45.76,50.20,111
view3,4319,1166,1377,46.64,55.08,210
view3,4345,1270,1271,50.80,50.84,2
view3,4346,1272,1400,50.88,56.00,98
view3,4367,1356,1513,54.24,60.52,133
view3,4389,1407,1412,56.28,56.48,6
view3,4391,1413,1469,56.52,58.76,57
view3,4397,1445,1615,57.80,64.60,160
view3,4407,1461,1589,58.44,63.56,93
view3,4408,1462,1470,58.48,58.80,7
view3,4418,1498,1500,59.92,60.00,3
view3,4419,1503,1711,60.12,68.44,194
view3,4423,1506,2251,60.24,90.04,659
view3,4429,1536,1536,61.44,61.44,1
view3,4432,1544,1698,61.76,67.92,129
view3,4438,1598,1602,63.92,64.08,5
view3,4442,1604,1607,64.16,64.28,4
view3,4450,1629,1629,65.16,65.16,1
view3,4451,1632,1785,65.28,71.40,143
view3,4460,1683,1689,67.32,67.56,6
view3,4475,1714,1926,68.56,77.04,193
view3,4483,1738,2094,69.52,83.76,295
view3,4501,1815,2021,72.60,80.84,157
view3,4509,1868,1878,74.72,75.12,9
view3,4513,1888,1890,75.52,75.60,3
view3,4514,1905,1908,76.20,76.32,4
view3,4524,1951,1952,78.04,78.08,2
view3,4543,1989,2046,79.56,81.84,6
view3,4545,1991,2013,79.64,80.52,16
view3,4559,2052,2515,82.08,100.60,423
view3,4561,2053,2059,82.12,82.36,3
view3,4570,2061,2226,82.44,89.04,162
view3,4586,2112,2115,84.48,84.60,2
view3,4588,2117,2143,84.68,85.72,26
view3,4594,2169,2169,86.76,86.76,1
view3,4597,2170,2344,86.80,93.76,118
view3,4603,2194,2238,87.76,89.52,37
view3,4612,2235,2327,89.40,93.08,89
view3,4618,2239,2247,89.56,89.88,5
view3,4627,2270,2413,90.80,96.52,142
view3,4629,2309,2311,92.36,92.44,3
view3,4632,2322,2496,92.88,99.84,141
view3,4636,2337,2394,93.48,95.76,43
view3,4640,2345,2810,93.80,112.40,313
view3,4650,2381,2381,95.24,95.24,1
view3,4664,2420,2420,96.80,96.80,1
view3,4676,2460,2635,98.40,105.40,104
view3,4678,2475,2582,99.00,103.28,95
view3,4685,2503,2531,100.12,101.24,13
view3,4693,2525,2576,101.00,103.04,25
view3,4699,2551,2657,102.04,106.28,72
view3,4739,2601,2603,104.04,104.12,3
view3,4746,2605,2646,104.20,105.84,41
view3,4757,2612,2690,104.48,107.60,65
view3,4765,2623,2623,104.92,104.92,1
view3,4766,2624,2624,104.96,104.96,1
view3,4773,2651,2652,106.04,106.08,2
view3,4774,2655,2767,106.20,110.68,100
view3,4777,2673,2673,106.92,106.92,1
view3,4784,2685,2898,107.40,115.92,184
view3,4788,2768,2857,110.72,114.28,87
view3,4796,2788,2795,111.52,111.80,7
view3,4798,2797,2868,111.88,114.72,53
view3,4800,2798,2798,111.92,111.92,1
view3,4803,2803,2803,112.12,112.12,1
view3,4808,2832,2832,113.28,113.28,1
view3,4812,2833,2977,113.32,119.08,143
view3,4816,2840,2841,113.60,113.64,2
view3,4819,2844,2844,113.76,113.76,1
view3,4825,2874,2880,114.96,115.20,6
view3,4826,2874,2881,114.96,115.24,8
view3,4832,2879,3282,115.16,131.28,377
