frame_idx,track_id,x1,y1,x2,y2,confidence,Q_i,D_i,phi_i,theta_i,vq_score
326,4164,259.61,0.85,304.72,163.22,0.8506,0.4253,5.0822,20.4798,160.43,0.1328
327,4164,257.38,0.29,302.13,160.77,0.8228,0.4114,5.2081,19.9719,153.5792,0.1289
328,4164,255.62,0.18,300.75,162.18,0.79,0.395,5.1157,19.735,0.0,0.2556
329,4164,255.0,0.05,299.42,159.48,0.71,0.355,5.2689,19.4758,160.4954,0.1116
330,4164,254.24,0.1,298.47,159.52,0.5815,0.2908,5.2609,19.3224,0.0,0.1884
331,4164,252.79,0.12,296.02,155.09,0.8486,0.4243,5.5297,18.8549,160.8025,0.1338
332,4164,249.9,0.13,294.2,158.09,0.8647,0.4324,5.3214,18.498,20.4915,0.2717
333,4164,247.13,0.13,292.17,158.86,0.8843,0.4421,5.2592,18.0807,0.0,0.2875
334,4164,244.12,0.13,290.14,159.77,0.8779,0.439,5.1891,17.6466,0.0,0.2857
335,4164,241.51,0.13,288.22,159.97,0.896,0.448,5.1641,17.2361,0.0,0.292
336,-1,247.22,0.14,289.12,84.66,0.4253,0.2127,27.0897,20.8981,0.0,0.1371
337,4164,237.63,0.26,285.05,160.05,0.8853,0.4426,5.1396,16.5868,0.0,0.289
338,4164,234.51,1.0,282.88,160.51,0.8882,0.4441,5.0983,16.1129,0.0,0.2903
339,4164,233.37,0.71,282.21,159.93,0.8564,0.4282,5.1276,15.922,0.0,0.28
340,4164,231.82,1.36,280.8,159.45,0.8262,0.4131,5.1482,15.6273,0.0,0.2703
341,4164,230.65,1.99,279.51,158.71,0.7456,0.3728,5.1863,15.3691,0.0,0.2441
342,4164,228.12,1.86,277.52,158.92,0.5293,0.2646,5.1621,14.9521,0.0,0.1734
343,4164,225.81,1.9,275.66,159.19,0.8867,0.4434,5.1356,14.57,0.0,0.2908
344,4164,224.96,1.46,274.34,156.14,0.8921,0.4461,5.3182,14.2518,160.8368,0.1441
345,4164,224.09,0.54,273.24,154.15,0.9038,0.4519,5.4427,14.0023,160.2238,0.1462
346,4164,222.67,0.39,273.12,159.05,0.8975,0.4487,5.1304,14.0279,18.3928,0.2871
347,4164,223.08,0.25,271.85,153.6,0.708,0.354,5.4735,13.7566,162.5768,0.1146
348,4164,221.68,0.21,269.71,152.61,0.4302,0.2151,5.5321,13.3894,0.0,0.1415
349,4164,220.39,0.11,267.36,150.58,0.7441,0.372,5.666,12.9906,157.0323,0.1208
350,4164,219.03,0.07,265.61,151.16,0.8452,0.4226,5.6172,12.7004,0.0,0.2783
351,4164,217.16,0.07,262.88,150.75,0.8467,0.4234,5.6357,12.2429,0.0,0.279
352,4164,216.12,0.0,260.82,149.69,0.4668,0.2334,5.7053,11.9177,0.0,0.1539
353,4164,205.1,0.04,251.74,150.16,0.5342,0.2671,5.6299,9.9462,71.7133,0.1156
354,4164,209.49,0.07,254.88,149.15,0.4971,0.2485,5.7181,10.6691,136.7818,0.0814
355,4164,201.36,0.09,248.11,149.17,0.7026,0.3513,5.6886,9.1901,80.3644,0.1352
356,4164,197.71,0.0,245.96,150.78,0.4446,0.2223,5.5629,8.6574,30.0511,0.1374
357,4164,202.17,0.34,249.15,149.18,0.4282,0.2141,5.6911,9.3746,145.4887,0.0704
358,4164,196.91,0.1,245.01,150.07,0.8228,0.4114,5.6107,8.4614,52.6268,0.2189
359,4164,194.6,0.11,243.22,150.24,0.8315,0.4158,5.5922,8.0582,0.0,0.2758
360,4164,193.84,0.67,242.03,150.12,0.7271,0.3635,5.5979,7.86,0.0,0.2412
361,4164,191.98,0.51,240.53,150.83,0.8594,0.4297,5.5427,7.5502,0.0,0.2852
362,4164,191.13,1.84,239.51,151.01,0.8779,0.439,5.5275,7.3713,0.0,0.2914
363,4164,191.41,2.26,239.26,149.32,0.8442,0.4221,5.6482,7.3155,163.2436,0.1396
364,4164,192.17,2.22,239.78,148.87,0.8545,0.4273,5.683,7.4309,0.0,0.2836
365,4164,191.63,1.92,239.04,147.22,0.834,0.417,5.8052,7.2645,162.3396,0.1379
366,4164,190.93,1.33,239.19,148.86,0.8477,0.4239,5.6812,7.247,16.7913,0.2754
367,4164,191.22,1.57,238.41,146.05,0.8037,0.4018,5.8947,7.1417,163.7995,0.1329
368,4164,191.42,1.57,238.31,145.17,0.8564,0.4282,5.965,7.1436,0.0,0.2844
369,4164,190.19,1.43,235.18,140.47,0.6416,0.3208,6.3612,6.7359,163.3592,0.1062
370,4164,188.54,0.71,233.0,139.91,0.8013,0.4007,6.4072,6.3633,0.0,0.2663
371,4164,187.01,0.54,230.21,138.71,0.8135,0.4068,6.514,5.9674,150.6195,0.1348
372,4164,186.13,0.3,228.08,137.41,0.7598,0.3799,6.6362,5.7228,158.0471,0.126
373,4164,183.41,0.72,224.14,137.62,0.8101,0.4051,6.6079,5.054,0.0,0.2695
374,4164,179.84,0.7,220.1,138.01,0.7153,0.3577,6.5625,4.2837,65.0211,0.1692
375,4164,178.22,0.78,218.07,138.43,0.8203,0.4102,6.5189,3.901,0.0,0.2731
376,4164,177.82,0.54,216.67,137.58,0.6577,0.3288,6.5998,3.7823,0.0,0.219
376,4178,4.19,10.55,42.24,162.48,0.7568,0.3784,5.5615,29.5608,0.0,0.2358
377,4164,174.71,0.44,213.28,137.24,0.7964,0.3982,6.6286,3.1959,0.0,0.2653
377,4178,6.01,10.44,44.26,162.1,0.3887,0.3887,5.5671,29.256,0.0,0.2426
378,4164,171.42,0.69,210.35,137.7,0.8545,0.4273,6.5799,2.5871,0.0,0.2847
378,4178,8.47,12.06,46.95,162.54,0.8125,0.8125,5.5164,28.8621,0.0,0.508
379,4164,167.89,1.25,207.77,138.31,0.8735,0.4368,6.5184,1.9916,0.0,0.2911
379,4178,8.73,12.02,48.41,164.7,0.7754,0.7754,5.3799,28.771,17.8583,0.4726
380,4164,165.63,1.56,206.41,138.14,0.8779,0.439,6.5336,1.7288,0.0,0.2926
380,4178,10.86,13.31,51.3,164.78,0.5361,0.5361,5.3531,28.3781,0.0,0.3359
381,4164,161.85,2.51,203.96,137.9,0.8916,0.4458,6.5555,1.3905,0.0,0.2972
381,4178,10.88,14.03,53.04,167.76,0.8203,0.8203,5.1778,28.3098,18.2957,0.5003
382,4164,161.82,3.33,204.62,137.69,0.8584,0.4292,6.576,1.4579,0.0,0.2861
382,4178,10.47,14.74,54.66,171.49,0.8506,0.8506,4.9763,28.3164,18.8615,0.5206
383,4164,159.33,3.86,203.4,137.34,0.8618,0.4309,6.6099,1.3991,0.0,0.2872
383,4178,9.53,14.88,55.51,173.95,0.6646,0.6646,4.8546,28.3984,19.5068,0.4166
384,4164,157.81,4.1,203.31,137.83,0.8838,0.4419,6.562,1.2751,0.0,0.2946
384,4178,8.79,14.8,56.37,175.36,0.3269,0.3269,4.7866,28.4347,0.0,0.2141
385,4164,155.13,4.55,201.98,137.93,0.9126,0.4563,6.5523,1.2842,0.0,0.3042
385,4178,8.29,14.1,57.57,176.47,0.8574,0.8574,4.7319,28.4177,0.0,0.5678
386,4164,152.98,4.24,201.46,138.16,0.9082,0.4541,6.5304,1.3311,0.0,0.3027
386,4178,7.85,12.51,58.66,176.55,0.8853,0.8853,4.7256,28.3699,0.0,0.5871
387,4164,151.33,3.84,201.13,137.93,0.9077,0.4538,6.5529,1.4705,0.0,0.3025
387,4178,7.91,10.59,59.99,176.52,0.8315,0.8315,4.7216,28.2606,0.0,0.5522
388,4164,150.88,3.21,201.9,137.99,0.9097,0.4548,6.547,1.4428,0.0,0.3032
388,4178,8.3,9.4,61.54,177.01,0.8965,0.8965,4.6915,28.1265,0.0,0.5993
389,4164,149.12,2.65,200.19,137.27,0.7822,0.3911,6.618,1.7685,0.0,0.2607
389,4178,9.1,8.4,63.0,176.69,0.8608,0.8608,4.6975,27.9384,0.0,0.5751
390,4164,148.15,2.38,199.03,137.05,0.8604,0.4302,6.6403,1.9454,0.0,0.2867
390,4178,10.1,7.75,64.46,176.24,0.8804,0.8804,4.7087,27.7293,0.0,0.5874
391,4164,146.26,2.1,196.5,137.02,0.7568,0.3784,6.6448,2.2819,0.0,0.2522
391,4178,13.91,6.59,69.63,176.22,0.9014,0.9014,4.6756,27.0182,0.0,0.6071
392,4164,145.42,1.9,194.87,136.93,0.835,0.4175,6.6548,2.4951,0.0,0.2782
392,4178,16.17,6.16,73.13,176.37,0.8877,0.8877,4.6473,26.5641,0.0,0.6023
393,4164,142.79,1.32,190.55,136.25,0.6504,0.3252,6.7269,3.1707,128.9235,0.1082
393,4178,17.66,5.74,75.78,176.95,0.8433,0.8433,4.6059,26.2547,0.0,0.5775
394,4164,140.21,0.91,186.53,136.69,0.8237,0.4118,6.687,3.734,0.0,0.2743
394,4178,17.78,5.23,78.52,181.76,0.8667,0.8667,4.3881,26.2311,21.3543,0.5989
395,4164,138.45,0.95,183.52,137.38,0.7671,0.3836,6.6223,4.1374,0.0,0.2554
395,4178,19.17,5.05,81.78,184.3,0.7349,0.7349,4.2697,25.982,25.0173,0.5137
396,4164,136.92,1.2,180.25,137.37,0.8062,0.4031,6.6277,4.6046,0.0,0.2683
396,4178,21.6,5.46,84.92,185.05,0.835,0.835,4.222,25.5768,0.0,0.616
397,4164,135.69,0.93,177.61,137.83,0.8159,0.4079,6.5865,4.959,0.0,0.2715
397,4178,23.47,5.63,87.15,185.29,0.8745,0.8745,4.1994,25.2622,0.0,0.6485
398,4164,134.74,0.6,175.32,137.96,0.8306,0.4153,6.5774,5.2732,0.0,0.2763
398,4178,24.77,5.89,88.57,185.34,0.7861,0.7861,4.1887,25.0473,0.0,0.5845
399,4164,132.48,0.62,172.28,137.68,0.8413,0.4207,6.611,5.8123,0.0,0.2797
399,4178,25.73,6.65,90.13,187.9,0.8755,0.8755,4.0844,24.9881,23.5296,0.639
400,4164,129.34,1.01,169.1,137.72,0.8721,0.436,6.6154,6.4392,0.0,0.2898
400,4178,27.38,7.5,92.54,190.49,0.8369,0.8369,3.9787,24.8195,25.8379,0.6182
401,4164,127.8,1.34,167.49,137.4,0.8682,0.4341,6.6513,6.7656,0.0,0.2884
401,4178,30.17,7.83,95.87,192.36,0.8867,0.8867,3.8958,24.4545,0.0,0.6952
402,4164,124.63,1.61,164.98,137.33,0.8745,0.4373,6.6669,7.3333,0.0,0.2903
402,4178,31.57,7.86,97.51,193.4,0.9009,0.9009,3.8519,24.284,0.0,0.7119
403,4164,120.12,2.13,161.74,136.98,0.8877,0.4439,6.7148,8.1164,116.4863,0.1465
403,4178,32.72,7.69,99.66,195.77,0.8931,0.8931,3.7648,24.1894,0.0,0.7163
404,4164,118.72,2.46,161.52,136.9,0.8657,0.4329,6.7257,8.28,0.0,0.2871
404,4178,34.71,7.72,101.96,198.0,0.8735,0.8735,3.6826,24.0188,0.0,0.7106
405,4164,120.06,2.54,163.47,137.1,0.8779,0.439,6.6998,7.9463,0.0,0.2912
405,4178,37.3,6.99,104.88,199.36,0.876,0.876,3.6262,23.6979,0.0,0.7198
406,4164,120.76,2.66,164.54,136.63,0.8877,0.4439,6.7441,7.7882,0.0,0.2945
406,4178,38.15,5.61,105.73,200.19,0.8867,0.8867,3.5968,23.6329,0.0,0.7322
407,4164,120.73,2.61,165.01,136.63,0.8838,0.4419,6.7433,7.7446,0.0,0.2933
407,4178,39.96,4.08,107.37,200.18,0.895,0.4475,3.5883,23.3676,0.0,0.3703
408,4164,118.11,3.1,163.33,136.87,0.8828,0.4414,6.7266,8.162,0.0,0.2928
408,4178,40.96,2.67,107.74,199.84,0.8901,0.4451,3.595,23.2348,0.0,0.368
409,4164,118.02,3.32,163.95,137.25,0.8818,0.4409,6.6876,8.096,0.0,0.2925
409,4178,42.43,1.41,108.51,199.39,0.8745,0.4373,3.6029,23.0259,0.0,0.3613
410,4164,116.98,3.4,163.34,136.74,0.8813,0.4406,6.7417,8.2778,0.0,0.2922
410,4178,45.53,0.58,111.55,199.83,0.8486,0.4243,3.5744,22.5899,0.0,0.3527
411,4164,115.67,2.92,162.9,136.96,0.876,0.438,6.7227,8.4437,0.0,0.2904
411,4178,48.37,0.19,114.18,199.86,0.8931,0.4466,3.5603,22.1722,0.0,0.3724
412,4164,115.06,2.31,162.3,137.28,0.8584,0.4292,6.6929,8.5531,0.0,0.2845
412,4178,52.08,0.15,118.23,200.03,0.9092,0.4546,3.5371,21.5918,0.0,0.3811
413,4164,114.23,2.5,161.27,137.68,0.8003,0.4002,6.6568,8.7256,0.0,0.2652
413,4178,56.42,0.25,123.33,200.06,0.8965,0.4482,3.5149,20.8727,0.0,0.3778
414,4164,112.53,2.43,159.18,137.32,0.6885,0.3443,6.6998,9.1128,0.0,0.2281
414,4178,61.27,0.21,129.88,201.34,0.9028,0.4514,3.4534,20.1356,0.0,0.3848
415,4164,110.78,2.17,156.43,136.67,0.4697,0.2349,6.7743,9.5784,0.0,0.1555
415,4178,65.33,0.49,136.71,205.95,0.9043,0.4521,3.3041,19.8305,34.9496,0.3676
416,4178,69.29,1.62,142.69,207.95,0.916,0.458,3.2334,19.3617,0.0,0.4046
417,4178,72.08,2.07,147.24,209.05,0.8921,0.4461,3.1926,18.9938,0.0,0.3968
418,4178,74.11,2.89,151.74,213.11,0.8843,0.4421,3.0819,19.0858,33.4523,0.3753
419,4178,75.33,2.65,154.98,215.89,0.8818,0.4409,3.0097,19.1788,0.0,0.4028
420,4178,76.44,2.01,158.2,220.57,0.8979,0.449,2.8988,19.5706,32.0477,0.3936
